rank_id, palyer, team, position, games, atbat, run, single, double, triple, hr, rbi, steal, ballfour, SO, rhit, rlong, robase, OPS
1,kimtaekyun,hh,1b,53,182,29,74,14,0,7,38,2,34,25,0.407,0.599,0.498,1.097
2,leeseungyeop,ss,1b,53,208,37,73,11,2,13,44,5,23,31,0.351,0.611,0.415,1.026
3,kangjeongho,nx,ss,53,186,45,65,13,0,17,46,13,30,33,0.349,0.694,0.446,1.140
4,kimhyunsoo,ds,lf,46,165,20,56,6,1,2,27,5,17,13,0.339,0.424,0.401,0.825
5,kimsunbin,kia,ss,51,183,27,59,12,0,1,26,14,28,21,0.322,0.404,0.409,0.814
6,parkyongtaek,lg,lf,48,184,39,58,14,0,6,37,13,24,30,0.315,0.489,0.394,0.884
7,hongsungheun,lt,lf,45,163,24,50,8,0,6,36,3,23,34,0.307,0.466,0.389,0.856
8,kimjoochan,lt,lf,43,174,27,53,11,1,2,14,10,10,23,0.305,0.414,0.346,0.760
9,choijinhaeng,hh,lf,44,146,24,44,12,0,9,31,2,21,34,0.301,0.568,0.392,0.960
10,sohnaseop,lt,rf,52,200,25,60,12,0,1,19,2,13,26,0.300,0.375,0.355,0.730
11,leejinyeong,lg,lf,44,154,21,46,10,0,2,26,3,18,11,0.299,0.403,0.370,0.773
12,kimdongjoo,ds,3b,48,161,14,48,1,0,1,18,2,13,17,0.298,0.323,0.352,0.675
13,seogunchang,nx,2b,50,159,19,47,13,2,0,16,8,17,12,0.296,0.403,0.365,0.768
14,kangdongwoo,hh,rf,54,204,32,60,16,1,2,21,1,21,16,0.294,0.412,0.357,0.769
15,jangkiyoung,nx,lf,40,147,24,43,2,2,5,17,13,15,18,0.293,0.435,0.358,0.793
16,chosungwhan,lt,2b,47,171,21,50,10,0,1,16,3,13,26,0.292,0.368,0.342,0.711
17,parksukmin,ss,3b,53,195,32,57,9,2,10,40,2,24,36,0.292,0.513,0.398,0.911
17,leeetaekkeun,nx,cf,52,195,38,57,12,0,4,24,9,19,16,0.292,0.415,0.361,0.776
19,leebyngkyu,lg,rf,43,154,17,45,9,0,2,20,3,10,20,0.292,0.390,0.333,0.723
20,jangsungho,hh,1b,54,199,32,58,15,0,4,27,1,29,28,0.291,0.427,0.387,0.814
21,kangminho,lt,cat,51,180,16,51,9,0,7,28,0,20,41,0.283,0.450,0.365,0.815
22,kimkangmin,sk,cf,48,173,21,49,9,0,4,13,4,7,26,0.283,0.405,0.321,0.725
22,kimwonsup,kia,lf,50,173,21,49,13,3,0,24,5,26,20,0.283,0.393,0.371,0.764
24,ahnchihing,kia,2b,50,191,23,54,11,2,3,23,6,14,24,0.283,0.408,0.335,0.743
25,choijung,sk,3b,52,195,37,55,13,0,14,40,3,23,47,0.282,0.564,0.377,0.941
26,jungkeunwoo,sk,2b,49,178,24,50,3,1,5,22,7,19,16,0.281,0.393,0.358,0.751
27,jungsungho,lg,3b,52,183,28,51,11,2,11,30,1,32,29,0.279,0.541,0.385,0.926
28,hwangjaekyun,lt,3b,53,191,20,53,10,0,3,22,9,16,38,0.277,0.377,0.340,0.717
29,leeehojoon,sk,1b,48,159,16,44,9,0,8,30,1,29,34,0.277,0.484,0.388,0.873
30,parkbyungho,nx,1b,53,193,28,53,17,0,12,48,4,34,42,0.275,0.549,0.393,0.942
31,choiheesup,kia,1b,47,153,22,42,14,0,5,32,1,31,34,0.275,0.464,0.394,0.858
32,najiwan,kia,rf,50,173,12,47,5,1,2,21,2,22,41,0.272,0.347,0.360,0.707
33,jeonjoonwoo,lt,cf,51,192,26,50,7,3,3,26,14,24,51,0.260,0.375,0.347,0.722
34,parkjongyoon,lt,1b,52,189,26,49,9,2,5,28,3,9,33,0.259,0.407,0.307,0.714
35,jeongsoosung,nx,rf,47,151,30,38,5,2,2,7,12,25,24,0.252,0.351,0.374,0.725
36,sohnsihun,ds,ss,51,160,14,40,7,0,3,22,2,11,25,0.250,0.350,0.311,0.661
37,leeyongkyu,kia,cf,49,189,38,47,4,1,0,14,22,32,21,0.249,0.280,0.370,0.650
38,jeongsoobin,ds,rf,52,175,29,43,9,4,0,18,15,11,22,0.246,0.343,0.291,0.634
39,leejongwook,ds,cf,44,164,24,40,6,0,0,16,9,17,6,0.244,0.280,0.314,0.594
40,kimsangsoo,ss,ss,53,165,29,40,6,2,2,16,14,23,17,0.242,0.339,0.349,0.688
41,choihyungwoo,ss,lf,46,174,18,42,9,1,2,27,1,20,29,0.241,0.339,0.322,0.661
42,choijoonsuk,ds,1b,49,151,10,35,2,1,3,19,0,19,25,0.232,0.318,0.322,0.640
43,suhdongwook,lg,2b,48,136,17,31,5,2,0,11,1,19,35,0.228,0.294,0.346,0.640
44,hansanghoon,hh,2b,50,142,25,32,5,1,2,16,4,27,30,0.225,0.317,0.357,0.674
45,kimminwoo,nx,3b,43,145,15,32,5,2,2,16,5,21,34,0.221,0.324,0.331,0.656
46,ohjihwan,lg,ss,53,169,29,36,9,1,5,23,5,20,53,0.213,0.367,0.297,0.664
47,parkjungkwon,sk,1b,43,147,17,31,4,1,2,15,1,9,31,0.211,0.293,0.259,0.552
48,paeyeongsup,ss,cf,46,156,24,31,4,1,0,12,11,22,30,0.199,0.237,0.311,0.549
