"","업종","month","sales"
"1","유아복","y2015.01m",185
"2","아동복","y2015.01m",400
"3","남성정장","y2015.01m",1122
"4","여성정장","y2015.01m",1141
"5","내의","y2015.01m",968
"6","한복점","y2015.01m",125
"7","캐쥬얼","y2015.01m",554
"8","기능복","y2015.01m",102
"9","가죽및모피의류","y2015.01m",256
"10","세탁소","y2015.01m",38
"11","옷감/직물","y2015.01m",254
"12","귀금속/시계","y2015.01m",1073
"13","악세서리","y2015.01m",230
"14","유아복","y2015.02m",197
"15","아동복","y2015.02m",399
"16","남성정장","y2015.02m",934
"17","여성정장","y2015.02m",1079
"18","내의","y2015.02m",905
"19","한복점","y2015.02m",137
"20","캐쥬얼","y2015.02m",500
"21","기능복","y2015.02m",1047
"22","가죽및모피의류","y2015.02m",215
"23","세탁소","y2015.02m",33
"24","옷감/직물","y2015.02m",209
"25","귀금속/시계","y2015.02m",1103
"26","악세서리","y2015.02m",261
"27","유아복","y2015.03m",183
"28","아동복","y2015.03m",532
"29","남성정장","y2015.03m",1154
"30","여성정장","y2015.03m",1313
"31","내의","y2015.03m",1125
"32","한복점","y2015.03m",166
"33","캐쥬얼","y2015.03m",577
"34","기능복","y2015.03m",146
"35","가죽및모피의류","y2015.03m",79
"36","세탁소","y2015.03m",61
"37","옷감/직물","y2015.03m",281
"38","귀금속/시계","y2015.03m",1221
"39","악세서리","y2015.03m",288
"40","유아복","y2015.04m",196
"41","아동복","y2015.04m",455
"42","남성정장","y2015.04m",1523
"43","여성정장","y2015.04m",1381
"44","내의","y2015.04m",1122
"45","한복점","y2015.04m",154
"46","캐쥬얼","y2015.04m",599
"47","기능복","y2015.04m",198
"48","가죽및모피의류","y2015.04m",47
"49","세탁소","y2015.04m",100
"50","옷감/직물","y2015.04m",276
"51","귀금속/시계","y2015.04m",1102
"52","악세서리","y2015.04m",286
"53","유아복","y2015.05m",205
"54","아동복","y2015.05m",543
"55","남성정장","y2015.05m",1705
"56","여성정장","y2015.05m",1497
"57","내의","y2015.05m",1298
"58","한복점","y2015.05m",139
"59","캐쥬얼","y2015.05m",670
"60","기능복","y2015.05m",659
"61","가죽및모피의류","y2015.05m",48
"62","세탁소","y2015.05m",85
"63","옷감/직물","y2015.05m",245
"64","귀금속/시계","y2015.05m",1232
"65","악세서리","y2015.05m",328
"66","유아복","y2015.06m",153
"67","아동복","y2015.06m",363
"68","남성정장","y2015.06m",1089
"69","여성정장","y2015.06m",1011
"70","내의","y2015.06m",968
"71","한복점","y2015.06m",97
"72","캐쥬얼","y2015.06m",453
"73","기능복","y2015.06m",51
"74","가죽및모피의류","y2015.06m",73
"75","세탁소","y2015.06m",61
"76","옷감/직물","y2015.06m",218
"77","귀금속/시계","y2015.06m",1067
"78","악세서리","y2015.06m",267
"79","유아복","y2015.07m",149
"80","아동복","y2015.07m",285
"81","남성정장","y2015.07m",989
"82","여성정장","y2015.07m",919
"83","내의","y2015.07m",937
"84","한복점","y2015.07m",113
"85","캐쥬얼","y2015.07m",391
"86","기능복","y2015.07m",22
"87","가죽및모피의류","y2015.07m",35
"88","세탁소","y2015.07m",32
"89","옷감/직물","y2015.07m",218
"90","귀금속/시계","y2015.07m",1037
"91","악세서리","y2015.07m",288
"92","유아복","y2015.08m",166
"93","아동복","y2015.08m",204
"94","남성정장","y2015.08m",572
"95","여성정장","y2015.08m",694
"96","내의","y2015.08m",817
"97","한복점","y2015.08m",130
"98","캐쥬얼","y2015.08m",321
"99","기능복","y2015.08m",43
"100","가죽및모피의류","y2015.08m",121
"101","세탁소","y2015.08m",28
"102","옷감/직물","y2015.08m",223
"103","귀금속/시계","y2015.08m",982
"104","악세서리","y2015.08m",270
"105","유아복","y2015.09m",207
"106","아동복","y2015.09m",652
"107","남성정장","y2015.09m",1153
"108","여성정장","y2015.09m",1107
"109","내의","y2015.09m",1025
"110","한복점","y2015.09m",191
"111","캐쥬얼","y2015.09m",483
"112","기능복","y2015.09m",116
"113","가죽및모피의류","y2015.09m",82
"114","세탁소","y2015.09m",36
"115","옷감/직물","y2015.09m",281
"116","귀금속/시계","y2015.09m",1022
"117","악세서리","y2015.09m",289
"118","유아복","y2015.10m",194
"119","아동복","y2015.10m",452
"120","남성정장","y2015.10m",1239
"121","여성정장","y2015.10m",1069
"122","내의","y2015.10m",1167
"123","한복점","y2015.10m",157
"124","캐쥬얼","y2015.10m",528
"125","기능복","y2015.10m",64
"126","가죽및모피의류","y2015.10m",138
"127","세탁소","y2015.10m",36
"128","옷감/직물","y2015.10m",244
"129","귀금속/시계","y2015.10m",1103
"130","악세서리","y2015.10m",275
"131","유아복","y2015.11m",193
"132","아동복","y2015.11m",516
"133","남성정장","y2015.11m",1618
"134","여성정장","y2015.11m",1521
"135","내의","y2015.11m",1307
"136","한복점","y2015.11m",151
"137","캐쥬얼","y2015.11m",637
"138","기능복","y2015.11m",78
"139","가죽및모피의류","y2015.11m",173
"140","세탁소","y2015.11m",51
"141","옷감/직물","y2015.11m",291
"142","귀금속/시계","y2015.11m",977
"143","악세서리","y2015.11m",279
"144","유아복","y2015.12m",176
"145","아동복","y2015.12m",446
"146","남성정장","y2015.12m",1496
"147","여성정장","y2015.12m",1374
"148","내의","y2015.12m",1250
"149","한복점","y2015.12m",125
"150","캐쥬얼","y2015.12m",566
"151","기능복","y2015.12m",57
"152","가죽및모피의류","y2015.12m",250
"153","세탁소","y2015.12m",56
"154","옷감/직물","y2015.12m",224
"155","귀금속/시계","y2015.12m",1312
"156","악세서리","y2015.12m",397
