"","업종","month","sales"
"1","유아복","X2015.01","185"
"2","아동복","X2015.01","400"
"3","남성정장","X2015.01","1,122"
"4","여성정장","X2015.01","1,141"
"5","내의","X2015.01","968"
"6","한복점","X2015.01","125"
"7","캐쥬얼","X2015.01","554"
"8","기능복","X2015.01","102"
"9","가죽및모피의류","X2015.01","256"
"10","세탁소","X2015.01","38"
"11","옷감/직물","X2015.01","254"
"12","귀금속/시계","X2015.01","1,073"
"13","악세서리","X2015.01","230"
"14","유아복","X2015.02","197"
"15","아동복","X2015.02","399"
"16","남성정장","X2015.02","934"
"17","여성정장","X2015.02","1,079"
"18","내의","X2015.02","905"
"19","한복점","X2015.02","137"
"20","캐쥬얼","X2015.02","500"
"21","기능복","X2015.02","1,047"
"22","가죽및모피의류","X2015.02","215"
"23","세탁소","X2015.02","33"
"24","옷감/직물","X2015.02","209"
"25","귀금속/시계","X2015.02","1,103"
"26","악세서리","X2015.02","261"
"27","유아복","X2015.03","183"
"28","아동복","X2015.03","532"
"29","남성정장","X2015.03","1,154"
"30","여성정장","X2015.03","1,313"
"31","내의","X2015.03","1,125"
"32","한복점","X2015.03","166"
"33","캐쥬얼","X2015.03","577"
"34","기능복","X2015.03","146"
"35","가죽및모피의류","X2015.03","79"
"36","세탁소","X2015.03","61"
"37","옷감/직물","X2015.03","281"
"38","귀금속/시계","X2015.03","1,221"
"39","악세서리","X2015.03","288"
"40","유아복","X2015.04","196"
"41","아동복","X2015.04","455"
"42","남성정장","X2015.04","1,523"
"43","여성정장","X2015.04","1,381"
"44","내의","X2015.04","1,122"
"45","한복점","X2015.04","154"
"46","캐쥬얼","X2015.04","599"
"47","기능복","X2015.04","198"
"48","가죽및모피의류","X2015.04","47"
"49","세탁소","X2015.04","100"
"50","옷감/직물","X2015.04","276"
"51","귀금속/시계","X2015.04","1,102"
"52","악세서리","X2015.04","286"
"53","유아복","X2015.05","205"
"54","아동복","X2015.05","543"
"55","남성정장","X2015.05","1,705"
"56","여성정장","X2015.05","1,497"
"57","내의","X2015.05","1,298"
"58","한복점","X2015.05","139"
"59","캐쥬얼","X2015.05","670"
"60","기능복","X2015.05","659"
"61","가죽및모피의류","X2015.05","48"
"62","세탁소","X2015.05","85"
"63","옷감/직물","X2015.05","245"
"64","귀금속/시계","X2015.05","1,232"
"65","악세서리","X2015.05","328"
"66","유아복","X2015.06","153"
"67","아동복","X2015.06","363"
"68","남성정장","X2015.06","1,089"
"69","여성정장","X2015.06","1,011"
"70","내의","X2015.06","968"
"71","한복점","X2015.06","97"
"72","캐쥬얼","X2015.06","453"
"73","기능복","X2015.06","51"
"74","가죽및모피의류","X2015.06","73"
"75","세탁소","X2015.06","61"
"76","옷감/직물","X2015.06","218"
"77","귀금속/시계","X2015.06","1,067"
"78","악세서리","X2015.06","267"
"79","유아복","X2015.07","149"
"80","아동복","X2015.07","285"
"81","남성정장","X2015.07","989"
"82","여성정장","X2015.07","919"
"83","내의","X2015.07","937"
"84","한복점","X2015.07","113"
"85","캐쥬얼","X2015.07","391"
"86","기능복","X2015.07","22"
"87","가죽및모피의류","X2015.07","35"
"88","세탁소","X2015.07","32"
"89","옷감/직물","X2015.07","218"
"90","귀금속/시계","X2015.07","1,037"
"91","악세서리","X2015.07","288"
"92","유아복","X2015.08","166"
"93","아동복","X2015.08","204"
"94","남성정장","X2015.08","572"
"95","여성정장","X2015.08","694"
"96","내의","X2015.08","817"
"97","한복점","X2015.08","130"
"98","캐쥬얼","X2015.08","321"
"99","기능복","X2015.08","43"
"100","가죽및모피의류","X2015.08","121"
"101","세탁소","X2015.08","28"
"102","옷감/직물","X2015.08","223"
"103","귀금속/시계","X2015.08","982"
"104","악세서리","X2015.08","270"
"105","유아복","X2015.09","207"
"106","아동복","X2015.09","652"
"107","남성정장","X2015.09","1,153"
"108","여성정장","X2015.09","1,107"
"109","내의","X2015.09","1,025"
"110","한복점","X2015.09","191"
"111","캐쥬얼","X2015.09","483"
"112","기능복","X2015.09","116"
"113","가죽및모피의류","X2015.09","82"
"114","세탁소","X2015.09","36"
"115","옷감/직물","X2015.09","281"
"116","귀금속/시계","X2015.09","1,022"
"117","악세서리","X2015.09","289"
"118","유아복","X2015.1","194"
"119","아동복","X2015.1","452"
"120","남성정장","X2015.1","1,239"
"121","여성정장","X2015.1","1,069"
"122","내의","X2015.1","1,167"
"123","한복점","X2015.1","157"
"124","캐쥬얼","X2015.1","528"
"125","기능복","X2015.1","64"
"126","가죽및모피의류","X2015.1","138"
"127","세탁소","X2015.1","36"
"128","옷감/직물","X2015.1","244"
"129","귀금속/시계","X2015.1","1,103"
"130","악세서리","X2015.1","275"
"131","유아복","X2015.11","193"
"132","아동복","X2015.11","516"
"133","남성정장","X2015.11","1,618"
"134","여성정장","X2015.11","1,521"
"135","내의","X2015.11","1,307"
"136","한복점","X2015.11","151"
"137","캐쥬얼","X2015.11","637"
"138","기능복","X2015.11","78"
"139","가죽및모피의류","X2015.11","173"
"140","세탁소","X2015.11","51"
"141","옷감/직물","X2015.11","291"
"142","귀금속/시계","X2015.11","977"
"143","악세서리","X2015.11","279"
"144","유아복","X2015.12","176"
"145","아동복","X2015.12","446"
"146","남성정장","X2015.12","1,496"
"147","여성정장","X2015.12","1,374"
"148","내의","X2015.12","1,250"
"149","한복점","X2015.12","125"
"150","캐쥬얼","X2015.12","566"
"151","기능복","X2015.12","57"
"152","가죽및모피의류","X2015.12","250"
"153","세탁소","X2015.12","56"
"154","옷감/직물","X2015.12","224"
"155","귀금속/시계","X2015.12","1,312"
"156","악세서리","X2015.12","397"
