TCO_BT_HLV_C,TCO_BT_HLV_C_NM,TCO_BT_MCLS_C,TCO_BT_MCLS_C_NM,TCO_BTC,TCO_BTC_NM
1,숙박/여행,110,숙박,1101,특급호텔
1,숙박/여행,110,숙박,1102,호텔(1급/2급/관광)
1,숙박/여행,110,숙박,1103,콘도
1,숙박/여행,110,숙박,1104,여관(모텔)
1,숙박/여행,110,숙박,1105,고시원
1,숙박/여행,110,숙박,1106,기타숙박
1,숙박/여행,120,여행/교통,1201,항공사
1,숙박/여행,120,여행/교통,1202,여행사
1,숙박/여행,120,여행/교통,1203,고속버스
1,숙박/여행,120,여행/교통,1204,철도
1,숙박/여행,120,여행/교통,1205,여객선
1,숙박/여행,120,여행/교통,1206,택시
1,숙박/여행,120,여행/교통,1207,기타교통
1,숙박/여행,120,여행/교통,1208,PG택시
1,숙박/여행,130,렌터카,1301,렌터카
1,숙박/여행,130,렌터카,1302,기타차량대여
2,식생활,210,음식/요리,2101,한식(한정식)
2,식생활,210,음식/요리,2102,일식(횟집)
2,식생활,210,음식/요리,2103,중식
2,식생활,210,음식/요리,2104,양식
2,식생활,210,음식/요리,2105,부페
2,식생활,210,음식/요리,2106,패스트푸드점
2,식생활,210,음식/요리,2107,패밀리레스토랑
2,식생활,210,음식/요리,2108,기타일반음식
2,식생활,220,음료/주류,2201,커피전문점
2,식생활,220,음료/주류,2202,제과점/아이스크림점
2,식생활,220,음료/주류,2203,주류판매점
2,식생활,230,유흥주점,2301,일반주점
2,식생활,230,유흥주점,2302,단란주점/가라오케
2,식생활,230,유흥주점,2303,호프/소주
2,식생활,230,유흥주점,2304,극장식당
2,식생활,230,유흥주점,2305,룸싸롱
2,식생활,230,유흥주점,2306,나이트클럽
2,식생활,230,유흥주점,2307,캬바레
2,식생활,230,유흥주점,2308,요정
2,식생활,230,유흥주점,2309,스텐드바
2,식생활,231,유흥주점,2310,유흥주점
2,식생활,240,식품,2401,미곡상
2,식생활,240,식품,2402,축산물/정육점
2,식생활,240,식품,2403,농축수산물
2,식생활,240,식품,2404,건강식품
2,식생활,240,식품,2405,인삼/홍삼제품
2,식생활,240,식품,2406,기타건강식품
2,식생활,240,식품,2407,기타음료식품
2,식생활,240,식품,2408,농산물(청과)/수산물
3,유통,310,유통업,3101,백화점
3,유통,310,유통업,3102,할인점
3,유통,310,유통업,3103,백화점內 식품관
3,유통,310,유통업,3104,슈퍼마켓
3,유통,310,유통업,3105,편의점
3,유통,310,유통업,3106,연쇄점
3,유통,310,유통업,3107,농협운영 연쇄점
3,유통,310,유통업,3108,면세점
3,유통,310,유통업,3109,연금／복지매장
3,유통,311,유통업,3110,소비조합
3,유통,311,유통업,3111,보훈매장
3,유통,311,유통업,3112,고속도로휴게실
3,유통,311,유통업,3113,아울렛
3,유통,311,유통업,3114,무역업
3,유통,311,유통업,3115,기타유통업
3,유통,320,제조업,3201,식품제조업
3,유통,320,제조업,3202,기계류제조업
3,유통,320,제조업,3203,비기계류제조업
3,유통,330,전자상거래,3301,전자상거래(온라인)
3,유통,330,전자상거래,3302,CA/TV홈쇼핑
3,유통,330,전자상거래,3303,통신판매업
3,유통,330,전자상거래,3304,다단계
3,유통,330,전자상거래,3305,방문판매
3,유통,330,전자상거래,3306,PG(온라인)
3,유통,330,전자상거래,3307,PG(오프라인)
3,유통,330,전자상거래,3308,상품권(온라인)
3,유통,330,전자상거래,3309,간편결제(온라인)
3,유통,331,전자상거래,3310,간편결제(오프라인)
3,유통,331,전자상거래,3311,PG_우대
4,교육/교양/서비스,410,레져업소,4100,골프장
4,교육/교양/서비스,410,레져업소,4101,실내외골프연습장
4,교육/교양/서비스,410,레져업소,4102,스포츠센터
4,교육/교양/서비스,410,레져업소,4103,볼링장
4,교육/교양/서비스,410,레져업소,4104,수영장
4,교육/교양/서비스,410,레져업소,4105,스키장
4,교육/교양/서비스,410,레져업소,4106,테니스장
4,교육/교양/서비스,410,레져업소,4107,당구장
4,교육/교양/서비스,410,레져업소,4108,사격장
4,교육/교양/서비스,410,레져업소,4109,기타레져업소
4,교육/교양/서비스,411,레져업소,4110,카지노(인바운드전용)
4,교육/교양/서비스,420,오락위락시설,4201,노래방
4,교육/교양/서비스,420,오락위락시설,4202,비디오방
4,교육/교양/서비스,420,오락위락시설,4203,ＰＣ방
4,교육/교양/서비스,420,오락위락시설,4204,기원
4,교육/교양/서비스,420,오락위락시설,4205,유원지/놀이시설
4,교육/교양/서비스,430,관람,4301,동물원／박물관
4,교육/교양/서비스,430,관람,4302,영화/연극/공연관
4,교육/교양/서비스,430,관람,4303,경기장
4,교육/교양/서비스,430,관람,4304,화랑
4,교육/교양/서비스,430,관람,4305,티켓판매대행
4,교육/교양/서비스,440,취미교양용품,4401,상품권
4,교육/교양/서비스,440,취미교양용품,4402,애완동물(애견센타)
4,교육/교양/서비스,440,취미교양용품,4403,기념품점
4,교육/교양/서비스,440,취미교양용품,4404,골동품점
4,교육/교양/서비스,440,취미교양용품,4405,성인용품
4,교육/교양/서비스,440,취미교양용품,4406,미술/공예
4,교육/교양/서비스,440,취미교양용품,4407,화방(표구)
4,교육/교양/서비스,440,취미교양용품,4408,수예
4,교육/교양/서비스,440,취미교양용품,4409,악기
4,교육/교양/서비스,441,취미교양용품,4410,레코드/비디오
4,교육/교양/서비스,441,취미교양용품,4411,스포츠용품
4,교육/교양/서비스,441,취미교양용품,4412,골프용품
4,교육/교양/서비스,441,취미교양용품,4413,총포류판매점
4,교육/교양/서비스,441,취미교양용품,4414,기타레져용품
4,교육/교양/서비스,441,취미교양용품,4415,기타취미교양용품
4,교육/교양/서비스,441,취미교양용품,4416,상품권(온누리)
4,교육/교양/서비스,450,종합교육관련상품,4501,문구
4,교육/교양/서비스,450,종합교육관련상품,4502,사무용품(전산소모품)
4,교육/교양/서비스,450,종합교육관련상품,4503,서적(서점)
4,교육/교양/서비스,450,종합교육관련상품,4504,완구/장난감
4,교육/교양/서비스,450,종합교육관련상품,4505,교육/과학기자재
4,교육/교양/서비스,460,학원,4601,외국어학원
4,교육/교양/서비스,460,학원,4602,컴퓨터학원
4,교육/교양/서비스,460,학원,4603,자동차학원
4,교육/교양/서비스,460,학원,4604,기타학원
4,교육/교양/서비스,470,교육기관,4701,유치원/어린이집
4,교육/교양/서비스,470,교육기관,4702,초/중/고등학교
4,교육/교양/서비스,470,교육기관,4703,대학/대학원
4,교육/교양/서비스,470,교육기관,4704,기타교육기관
4,교육/교양/서비스,480,서비스,4801,통신비(시청료)
4,교육/교양/서비스,480,서비스,4802,공과금
4,교육/교양/서비스,480,서비스,4803,우체국서비스
4,교육/교양/서비스,480,서비스,4804,국세/지방세
4,교육/교양/서비스,480,서비스,4805,인쇄업
4,교육/교양/서비스,480,서비스,4806,출판업
4,교육/교양/서비스,480,서비스,4807,간판/광고대행
4,교육/교양/서비스,480,서비스,4808,화물운송/이사
4,교육/교양/서비스,480,서비스,4809,보관/창고업
4,교육/교양/서비스,481,서비스,4810,부동산중계(임대)/건설회사
4,교육/교양/서비스,481,서비스,4811,영리단체(기관)
4,교육/교양/서비스,481,서비스,4812,비영리단체(기관)
4,교육/교양/서비스,481,서비스,4813,자선사업
4,교육/교양/서비스,481,서비스,4814,회계/세무/관세/변리
4,교육/교양/서비스,481,서비스,4815,법률사무소
4,교육/교양/서비스,481,서비스,4816,자문(컨설팅)서비스
4,교육/교양/서비스,481,서비스,4817,보안/경비서비스
4,교육/교양/서비스,481,서비스,4818,가례서비스(예식장)
4,교육/교양/서비스,481,서비스,4819,대여전문업(도서/웨딩/의상)
4,교육/교양/서비스,482,서비스,4820,기타대행업
4,교육/교양/서비스,482,서비스,4821,사진관
4,교육/교양/서비스,482,서비스,4822,철학관
4,교육/교양/서비스,482,서비스,4823,문화센터
4,교육/교양/서비스,482,서비스,4824,유학원
4,교육/교양/서비스,482,서비스,4825,독서실
4,교육/교양/서비스,482,서비스,4826,세탁소(옷수선)
4,교육/교양/서비스,482,서비스,4827,만물상(철물점)
4,교육/교양/서비스,482,서비스,4828,기계류수리업
4,교육/교양/서비스,482,서비스,4829,기타수리서비스
4,교육/교양/서비스,483,서비스,4830,기타(용역)서비스
5,의료/보험/위생,510,보험,5101,생명보험
5,의료/보험/위생,510,보험,5102,손해보험
5,의료/보험/위생,510,보험,5103,기타보험
5,의료/보험/위생,520,의료기관,5201,종합병원
5,의료/보험/위생,520,의료기관,5202,병원
5,의료/보험/위생,520,의료기관,5203,내과
5,의료/보험/위생,520,의료기관,5204,치과
5,의료/보험/위생,520,의료기관,5205,산부인과
5,의료/보험/위생,520,의료기관,5206,성형외과
5,의료/보험/위생,520,의료기관,5207,외과
5,의료/보험/위생,520,의료기관,5208,피부과
5,의료/보험/위생,520,의료기관,5209,안과
5,의료/보험/위생,521,의료기관,5210,비뇨기과
5,의료/보험/위생,521,의료기관,5211,이비인후과
5,의료/보험/위생,521,의료기관,5212,방사선과/영상진단의학
5,의료/보험/위생,521,의료기관,5213,동물(가축)병원
5,의료/보험/위생,521,의료기관,5214,기타의료기관
5,의료/보험/위생,521,의료기관,5215,신경과/신경외과
5,의료/보험/위생,521,의료기관,5216,정신과
5,의료/보험/위생,521,의료기관,5217,정형외과
5,의료/보험/위생,521,의료기관,5218,흉부외과
5,의료/보험/위생,521,의료기관,5219,소아청소년과
5,의료/보험/위생,522,의료기관,5220,마취통증의학
5,의료/보험/위생,522,의료기관,5221,요양병원
5,의료/보험/위생,522,의료기관,5222,한의원/한방병원
5,의료/보험/위생,530,제약,5301,한약방
5,의료/보험/위생,530,제약,5302,약국
5,의료/보험/위생,530,제약,5303,제약회사/의약품
5,의료/보험/위생,540,보건위생,5401,보건소
5,의료/보험/위생,540,보건위생,5402,조산원/산후조리원
5,의료/보험/위생,540,보건위생,5403,요양원
5,의료/보험/위생,540,보건위생,5404,장의사(장례식장)
5,의료/보험/위생,540,보건위생,5405,미용실
5,의료/보험/위생,540,보건위생,5406,이발소
5,의료/보험/위생,540,보건위생,5407,안마／스포츠마사지
5,의료/보험/위생,540,보건위생,5408,피부/체형관리
5,의료/보험/위생,540,보건위생,5409,발관리/네일아트
5,의료/보험/위생,541,보건위생,5410,사우나(목욕/찜질방)
5,의료/보험/위생,541,보건위생,5411,화장품
5,의료/보험/위생,541,보건위생,5412,미용재료
5,의료/보험/위생,541,보건위생,5413,기타보건/위생
5,의료/보험/위생,550,건강보조기기,5501,의료기기/용품
