TCO_BTC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1101,29686,24750,25044,28688,30853,29268,37561,46373,29907,32852,28872,40322
1102,77491,68410,61057,58669,64144,67686,81714,106439,68055,76781,71303,88255
1103,51418,41643,23756,23979,30997,35541,55950,74776,33253,42676,27159,46015
1104,70034,61428,74550,73424,76510,75765,77933,83833,71783,80554,78073,80679
1105,516,417,537,487,482,520,592,546,488,498,474,534
1106,24183,19844,16430,17285,22981,24484,30440,48802,22836,28341,21789,25224
1201,198863,161076,170669,176451,177764,165242,199036,171281,161732,194434,177706,201014
1202,12603,10270,11373,11232,12369,13524,15350,14617,13709,15402,14466,15292
1203,281510,260839,293295,306503,328615,410197,325444,328840,359819,361038,356374,462412
1204,503821,426060,481650,506883,537820,501207,524548,573222,527430,583098,586083,617622
1205,12127,13343,16641,18891,22710,18982,19439,26274,17805,21761,17233,13645
1206,964901,526617,622970,625317,689500,1320898,1490342,1453773,1421101,1505043,1494707,1674859
1207,1931493,1823206,1809955,1940853,1989746,2034396,2010700,2032270,2079808,2077298,2222761,2224430
1208,61094,1108082,1262863,1374341,1403147,1323329,1550151,1478346,1438346,1549450,1523316,1717178
1301,12123,11956,12654,13147,14242,14517,15297,16889,14871,17160,16302,16819
1302,2318,2049,2443,2168,1808,1455,944,1314,1700,1791,1918,1627
2101,5090623,4395823,5487154,5553990,6073231,5937017,6209035,6526723,5630653,6526256,6213926,6339478
2102,355211,315353,387197,385359,434376,433252,423795,433331,395452,463385,433849,469338
2103,621174,577115,688082,688207,735670,732852,777206,778819,704770,809067,780084,824232
2104,343325,307911,359304,357199,396137,392174,407662,432663,364386,415638,380835,430592
2105,38433,33153,38391,38724,43371,41085,46247,55806,46562,54104,54185,62992
2106,1129360,1033890,1147851,1171251,1282822,1306055,1406768,1454466,1273598,1327309,1155826,1239945
2107,96597,88924,90052,92036,97499,101731,118765,123055,118440,114476,114533,142594
2108,4536316,3990698,4914662,5042974,5462184,5438266,5515827,5858154,5245127,5888569,5512676,5592777
2201,2766893,2566972,3258024,3498982,3998303,4016149,4217161,4406365,3988683,4334159,3974918,4087613
2202,2035560,1816793,2261219,2291585,2357158,2331403,2345572,2414171,2263509,2423879,2267711,2361763
2203,4873,4782,5404,5641,5833,6056,6202,6501,6187,6491,6502,7475
2301,142604,126911,150517,148455,169403,172773,175987,176686,168413,181750,174604,189533
2302,22096,20070,23446,22638,24225,24182,25456,25949,25099,26081,25348,30796
2303,178030,160482,189915,187511,220829,229341,235976,242238,221658,233206,218237,232079
2304,4,3,4,,7,8,5,8,7,3,4,3
2305,996,970,1096,1007,1039,998,1035,1074,981,1046,1029,1115
2306,5716,5281,5972,5690,6253,6312,6365,6589,6652,6754,6562,8685
